variant_id,sku,product_name,option,on_hand_quantity,low_stock_threshold,reason
yv-eye-003-deep-violet,,Softwing Tubing Mascara,Deep Violet,100,10,initial inventory approved by admin
yv-eye-004-default,,Canopy Eye Color,Default,100,10,initial inventory approved by admin
yv-eye-005-default,,Terrastone Nude Eye Quad,Default,100,10,initial inventory approved by admin
yv-eye-006-aubergine-plum,,Moonveil Satin Shadow,Aubergine Plum,100,10,initial inventory approved by admin
yv-eye-006-bronze,,Moonveil Satin Shadow,Bronze,100,10,initial inventory approved by admin
yv-eye-006-deep-burgundy,,Moonveil Satin Shadow,Deep Burgundy,100,10,initial inventory approved by admin
yv-eye-006-rose-gold,,Moonveil Satin Shadow,Rose Gold,100,10,initial inventory approved by admin
yv-eye-006-smoky-charcoal,,Moonveil Satin Shadow,Smoky Charcoal,100,10,initial inventory approved by admin
yv-eye-006-antique-gold,,Moonveil Satin Shadow,Antique Gold,100,10,initial inventory approved by admin
yv-eye-006-champagne-gold,,Moonveil Satin Shadow,Champagne Gold,100,10,initial inventory approved by admin
yv-eye-007-kohl-black,,Inkroot Precision Liner,Kohl Black,100,10,initial inventory approved by admin
yv-eye-007-espresso-brown,,Inkroot Precision Liner,Espresso Brown,100,10,initial inventory approved by admin
yv-eye-007-smoky-bronze,,Inkroot Precision Liner,Smoky Bronze,100,10,initial inventory approved by admin
yv-eye-007-deep-chocolate,,Inkroot Precision Liner,Deep Chocolate,100,10,initial inventory approved by admin
yv-eye-007-charcoal,,Inkroot Precision Liner,Charcoal,100,10,initial inventory approved by admin
yv-eye-007-burgundy-raisin,,Inkroot Precision Liner,Burgundy Raisin,100,10,initial inventory approved by admin
yv-eye-007-deep-plum,,Inkroot Precision Liner,Deep Plum,100,10,initial inventory approved by admin
yv-eye-007-emerald,,Inkroot Precision Liner,Emerald,100,10,initial inventory approved by admin
yv-eye-007-deep-indigo,,Inkroot Precision Liner,Deep Indigo,100,10,initial inventory approved by admin
yv-eye-007-deep-teal,,Inkroot Precision Liner,Deep Teal,100,10,initial inventory approved by admin
yv-eye-007-cobalt-blue,,Inkroot Precision Liner,Cobalt Blue,100,10,initial inventory approved by admin
yv-eye-007-violet,,Inkroot Precision Liner,Violet,100,10,initial inventory approved by admin
yv-eye-008-kohl-black,,Deepgrove Gel Liner,Kohl Black,100,10,initial inventory approved by admin
yv-eye-008-espresso-brown,,Deepgrove Gel Liner,Espresso Brown,100,10,initial inventory approved by admin
yv-eye-008-smoky-bronze,,Deepgrove Gel Liner,Smoky Bronze,100,10,initial inventory approved by admin
yv-eye-008-deep-chocolate,,Deepgrove Gel Liner,Deep Chocolate,100,10,initial inventory approved by admin
yv-eye-008-charcoal,,Deepgrove Gel Liner,Charcoal,100,10,initial inventory approved by admin
yv-eye-008-burgundy-raisin,,Deepgrove Gel Liner,Burgundy Raisin,100,10,initial inventory approved by admin
yv-eye-008-deep-plum,,Deepgrove Gel Liner,Deep Plum,100,10,initial inventory approved by admin
yv-eye-008-emerald,,Deepgrove Gel Liner,Emerald,100,10,initial inventory approved by admin
yv-eye-008-deep-indigo,,Deepgrove Gel Liner,Deep Indigo,100,10,initial inventory approved by admin
yv-eye-008-deep-teal,,Deepgrove Gel Liner,Deep Teal,100,10,initial inventory approved by admin
yv-eye-008-cobalt-blue,,Deepgrove Gel Liner,Cobalt Blue,100,10,initial inventory approved by admin
yv-eye-008-violet,,Deepgrove Gel Liner,Violet,100,10,initial inventory approved by admin
yv-eye-009-kohl-black,,Stormline Waterproof Liner,Kohl Black,100,10,initial inventory approved by admin
yv-eye-009-espresso-brown,,Stormline Waterproof Liner,Espresso Brown,100,10,initial inventory approved by admin
yv-eye-009-smoky-bronze,,Stormline Waterproof Liner,Smoky Bronze,100,10,initial inventory approved by admin
yv-eye-009-deep-chocolate,,Stormline Waterproof Liner,Deep Chocolate,100,10,initial inventory approved by admin
yv-eye-009-charcoal,,Stormline Waterproof Liner,Charcoal,100,10,initial inventory approved by admin
yv-eye-009-burgundy-raisin,,Stormline Waterproof Liner,Burgundy Raisin,100,10,initial inventory approved by admin
yv-eye-009-deep-plum,,Stormline Waterproof Liner,Deep Plum,100,10,initial inventory approved by admin
yv-eye-009-emerald,,Stormline Waterproof Liner,Emerald,100,10,initial inventory approved by admin
yv-eye-009-deep-indigo,,Stormline Waterproof Liner,Deep Indigo,100,10,initial inventory approved by admin
yv-eye-009-deep-teal,,Stormline Waterproof Liner,Deep Teal,100,10,initial inventory approved by admin
yv-eye-009-cobalt-blue,,Stormline Waterproof Liner,Cobalt Blue,100,10,initial inventory approved by admin
yv-eye-009-violet,,Stormline Waterproof Liner,Violet,100,10,initial inventory approved by admin
yv-eye-010-ash-taupe,,Briar Arch Sculpt Pencil,Ash Taupe,100,10,initial inventory approved by admin
yv-eye-010-neutral-taupe-brown,,Briar Arch Sculpt Pencil,Neutral Taupe Brown,100,10,initial inventory approved by admin
yv-eye-010-warm-light-brown,,Briar Arch Sculpt Pencil,Warm Light Brown,100,10,initial inventory approved by admin
yv-eye-010-ash-brown,,Briar Arch Sculpt Pencil,Ash Brown,100,10,initial inventory approved by admin
yv-eye-010-neutral-medium-brown,,Briar Arch Sculpt Pencil,Neutral Medium Brown,100,10,initial inventory approved by admin
yv-eye-010-warm-deep-brown,,Briar Arch Sculpt Pencil,Warm Deep Brown,100,10,initial inventory approved by admin
yv-eye-010-neutral-deep-brown,,Briar Arch Sculpt Pencil,Neutral Deep Brown,100,10,initial inventory approved by admin
yv-eye-010-black-brown,,Briar Arch Sculpt Pencil,Black Brown,100,10,initial inventory approved by admin
yv-eye-010-soft-black,,Briar Arch Sculpt Pencil,Soft Black,100,10,initial inventory approved by admin
yv-eye-011-ash-taupe,,Willow Brow Gel,Ash Taupe,100,10,initial inventory approved by admin
yv-eye-011-neutral-taupe-brown,,Willow Brow Gel,Neutral Taupe Brown,100,10,initial inventory approved by admin
yv-eye-011-warm-light-brown,,Willow Brow Gel,Warm Light Brown,100,10,initial inventory approved by admin
yv-eye-011-ash-brown,,Willow Brow Gel,Ash Brown,100,10,initial inventory approved by admin
yv-eye-011-neutral-medium-brown,,Willow Brow Gel,Neutral Medium Brown,100,10,initial inventory approved by admin
yv-eye-011-warm-deep-brown,,Willow Brow Gel,Warm Deep Brown,100,10,initial inventory approved by admin
yv-eye-011-neutral-deep-brown,,Willow Brow Gel,Neutral Deep Brown,100,10,initial inventory approved by admin
yv-eye-011-black-brown,,Willow Brow Gel,Black Brown,100,10,initial inventory approved by admin
yv-eye-011-soft-black,,Willow Brow Gel,Soft Black,100,10,initial inventory approved by admin
yv-eye-011-clear,,Willow Brow Gel,Clear,100,10,initial inventory approved by admin
yv-eye-012-ash-taupe,,Fernstroke Micro Brow Pen,Ash Taupe,100,10,initial inventory approved by admin
yv-eye-012-neutral-taupe-brown,,Fernstroke Micro Brow Pen,Neutral Taupe Brown,100,10,initial inventory approved by admin
yv-eye-012-warm-light-brown,,Fernstroke Micro Brow Pen,Warm Light Brown,100,10,initial inventory approved by admin
yv-eye-012-ash-brown,,Fernstroke Micro Brow Pen,Ash Brown,100,10,initial inventory approved by admin
yv-eye-012-neutral-medium-brown,,Fernstroke Micro Brow Pen,Neutral Medium Brown,100,10,initial inventory approved by admin
yv-eye-012-warm-deep-brown,,Fernstroke Micro Brow Pen,Warm Deep Brown,100,10,initial inventory approved by admin
yv-eye-012-neutral-deep-brown,,Fernstroke Micro Brow Pen,Neutral Deep Brown,100,10,initial inventory approved by admin
yv-eye-012-black-brown,,Fernstroke Micro Brow Pen,Black Brown,100,10,initial inventory approved by admin
yv-eye-012-soft-black,,Fernstroke Micro Brow Pen,Soft Black,100,10,initial inventory approved by admin
yv-eye-013-default,,Woodland Edit Eye Set,Default,100,10,initial inventory approved by admin
yv-eye-014-default,,Moonwood Eye Edit,Default,100,10,initial inventory approved by admin
yv-eye-015-default,,Dawnbranch Eye Wardrobe,Default,100,10,initial inventory approved by admin
yv-lip-001-petal-nude,,Petal Velvet Lip Color,Petal Nude,100,10,initial inventory approved by admin
yv-lip-001-clay-bloom,,Petal Velvet Lip Color,Clay Bloom,100,10,initial inventory approved by admin
yv-lip-001-rose-bark,,Petal Velvet Lip Color,Rose Bark,100,10,initial inventory approved by admin
yv-lip-001-soft-fig,,Petal Velvet Lip Color,Soft Fig,100,10,initial inventory approved by admin
yv-lip-001-berry-veil,,Petal Velvet Lip Color,Berry Veil,100,10,initial inventory approved by admin
yv-lip-001-amber-rose,,Petal Velvet Lip Color,Amber Rose,100,10,initial inventory approved by admin
yv-lip-001-moss-nude,,Petal Velvet Lip Color,Moss Nude,100,10,initial inventory approved by admin
yv-lip-001-brick-petal,,Petal Velvet Lip Color,Brick Petal,100,10,initial inventory approved by admin
yv-lip-002-petal-nude,,Clayrose Satin Lipstick,Petal Nude,100,10,initial inventory approved by admin
yv-lip-002-clay-bloom,,Clayrose Satin Lipstick,Clay Bloom,100,10,initial inventory approved by admin
yv-lip-002-rose-bark,,Clayrose Satin Lipstick,Rose Bark,100,10,initial inventory approved by admin
yv-lip-002-soft-fig,,Clayrose Satin Lipstick,Soft Fig,100,10,initial inventory approved by admin
yv-lip-002-berry-veil,,Clayrose Satin Lipstick,Berry Veil,100,10,initial inventory approved by admin
yv-lip-002-amber-rose,,Clayrose Satin Lipstick,Amber Rose,100,10,initial inventory approved by admin
yv-lip-002-moss-nude,,Clayrose Satin Lipstick,Moss Nude,100,10,initial inventory approved by admin
yv-lip-002-brick-petal,,Clayrose Satin Lipstick,Brick Petal,100,10,initial inventory approved by admin
yv-lip-003-petal-nude,,Riverrose Lip Color,Petal Nude,100,10,initial inventory approved by admin
yv-lip-003-clay-bloom,,Riverrose Lip Color,Clay Bloom,100,10,initial inventory approved by admin
yv-lip-003-rose-bark,,Riverrose Lip Color,Rose Bark,100,10,initial inventory approved by admin
yv-lip-003-soft-fig,,Riverrose Lip Color,Soft Fig,100,10,initial inventory approved by admin
yv-lip-003-berry-veil,,Riverrose Lip Color,Berry Veil,100,10,initial inventory approved by admin
yv-lip-003-amber-rose,,Riverrose Lip Color,Amber Rose,100,10,initial inventory approved by admin
yv-lip-003-moss-nude,,Riverrose Lip Color,Moss Nude,100,10,initial inventory approved by admin
yv-lip-003-brick-petal,,Riverrose Lip Color,Brick Petal,100,10,initial inventory approved by admin
yv-lip-004-berry-drop,,Crystalleaf Lip Oil,Berry Drop,100,10,initial inventory approved by admin
yv-lip-004-champagne-glow,,Crystalleaf Lip Oil,Champagne Glow,100,10,initial inventory approved by admin
yv-lip-004-crystal-clear,,Crystalleaf Lip Oil,Crystal Clear,100,10,initial inventory approved by admin
yv-lip-004-golden-pearl,,Crystalleaf Lip Oil,Golden Pearl,100,10,initial inventory approved by admin
yv-lip-004-honey-dew,,Crystalleaf Lip Oil,Honey Dew,100,10,initial inventory approved by admin
yv-lip-004-mauve-pearl,,Crystalleaf Lip Oil,Mauve Pearl,100,10,initial inventory approved by admin
yv-lip-004-peach-pearl,,Crystalleaf Lip Oil,Peach Pearl,100,10,initial inventory approved by admin
yv-lip-004-rose-water,,Crystalleaf Lip Oil,Rose Water,100,10,initial inventory approved by admin
yv-lip-004-shell-pink,,Crystalleaf Lip Oil,Shell Pink,100,10,initial inventory approved by admin
yv-lip-004-soft-fig,,Crystalleaf Lip Oil,Soft Fig,100,10,initial inventory approved by admin
yv-lip-005-bronze-pearl,,Pearlglow Cushion Gloss,Bronze Pearl,100,10,initial inventory approved by admin
yv-lip-005-champagne-glow,,Pearlglow Cushion Gloss,Champagne Glow,100,10,initial inventory approved by admin
yv-lip-005-mauve-pearl,,Pearlglow Cushion Gloss,Mauve Pearl,100,10,initial inventory approved by admin
yv-lip-005-opal-glow,,Pearlglow Cushion Gloss,Opal Glow,100,10,initial inventory approved by admin
yv-lip-005-pink-pearl,,Pearlglow Cushion Gloss,Pink Pearl,100,10,initial inventory approved by admin
yv-lip-005-rose-quartz,,Pearlglow Cushion Gloss,Rose Quartz,100,10,initial inventory approved by admin
yv-lip-006-mauve-stem,,Velvetstem Lip Liner,Mauve Stem,100,10,initial inventory approved by admin
yv-lip-006-berry-root,,Velvetstem Lip Liner,Berry Root,100,10,initial inventory approved by admin
yv-lip-006-clay-line,,Velvetstem Lip Liner,Clay Line,100,10,initial inventory approved by admin
yv-lip-006-cocoa-vine,,Velvetstem Lip Liner,Cocoa Vine,100,10,initial inventory approved by admin
yv-lip-007-rose-drop,,Petalink Lip Stain,Rose Drop,100,10,initial inventory approved by admin
yv-lip-007-coral-leaf,,Petalink Lip Stain,Coral Leaf,100,10,initial inventory approved by admin
yv-lip-007-berry-river,,Petalink Lip Stain,Berry River,100,10,initial inventory approved by admin
yv-lip-007-fig-bloom,,Petalink Lip Stain,Fig Bloom,100,10,initial inventory approved by admin
yv-lip-007-brick-petal,,Petalink Lip Stain,Brick Petal,100,10,initial inventory approved by admin
yv-lip-007-plum-vine,,Petalink Lip Stain,Plum Vine,100,10,initial inventory approved by admin
yv-lip-008-clear-nectar,,Amberhoney Lip Plumper,Clear Nectar,100,10,initial inventory approved by admin
yv-lip-008-peach-honey,,Amberhoney Lip Plumper,Peach Honey,100,10,initial inventory approved by admin
yv-lip-008-nude-bloom,,Amberhoney Lip Plumper,Nude Bloom,100,10,initial inventory approved by admin
yv-lip-008-soft-bronze,,Amberhoney Lip Plumper,Soft Bronze,100,10,initial inventory approved by admin
yv-lip-008-berry-nectar,,Amberhoney Lip Plumper,Berry Nectar,100,10,initial inventory approved by admin
yv-cheek-001-dawn-petal,,Airbloom Blush,Dawn Petal,100,10,initial inventory approved by admin
yv-cheek-001-rose-mist,,Airbloom Blush,Rose Mist,100,10,initial inventory approved by admin
yv-cheek-001-peach-moss,,Airbloom Blush,Peach Moss,100,10,initial inventory approved by admin
yv-cheek-001-soft-berry,,Airbloom Blush,Soft Berry,100,10,initial inventory approved by admin
yv-cheek-001-sun-clay,,Airbloom Blush,Sun Clay,100,10,initial inventory approved by admin
yv-cheek-001-mauve-air,,Airbloom Blush,Mauve Air,100,10,initial inventory approved by admin
yv-cheek-002-dawn-petal,,Sunclay Cheek Color,Dawn Petal,100,10,initial inventory approved by admin
yv-cheek-002-rose-mist,,Sunclay Cheek Color,Rose Mist,100,10,initial inventory approved by admin
yv-cheek-002-peach-moss,,Sunclay Cheek Color,Peach Moss,100,10,initial inventory approved by admin
yv-cheek-002-soft-berry,,Sunclay Cheek Color,Soft Berry,100,10,initial inventory approved by admin
yv-cheek-002-sun-clay,,Sunclay Cheek Color,Sun Clay,100,10,initial inventory approved by admin
yv-cheek-002-mauve-air,,Sunclay Cheek Color,Mauve Air,100,10,initial inventory approved by admin
yv-cheek-003-dawn-petal,,Rosemist Blush,Dawn Petal,100,10,initial inventory approved by admin
yv-cheek-003-rose-mist,,Rosemist Blush,Rose Mist,100,10,initial inventory approved by admin
yv-cheek-003-peach-moss,,Rosemist Blush,Peach Moss,100,10,initial inventory approved by admin
yv-cheek-003-soft-berry,,Rosemist Blush,Soft Berry,100,10,initial inventory approved by admin
yv-cheek-003-sun-clay,,Rosemist Blush,Sun Clay,100,10,initial inventory approved by admin
yv-cheek-003-mauve-air,,Rosemist Blush,Mauve Air,100,10,initial inventory approved by admin
yv-cheek-004-petal-dew,,Wildbloom Lip & Cheek Tint,Petal Dew,100,10,initial inventory approved by admin
yv-cheek-004-roseleaf,,Wildbloom Lip & Cheek Tint,Roseleaf,100,10,initial inventory approved by admin
yv-cheek-004-meadow-coral,,Wildbloom Lip & Cheek Tint,Meadow Coral,100,10,initial inventory approved by admin
yv-cheek-004-quiet-berry,,Wildbloom Lip & Cheek Tint,Quiet Berry,100,10,initial inventory approved by admin
yv-cheek-004-clay-bloom,,Wildbloom Lip & Cheek Tint,Clay Bloom,100,10,initial inventory approved by admin
yv-cheek-004-fern-rose,,Wildbloom Lip & Cheek Tint,Fern Rose,100,10,initial inventory approved by admin
yv-cheek-005-petal-dew,,Meadowmelt Multi-Stick,Petal Dew,100,10,initial inventory approved by admin
yv-cheek-005-roseleaf,,Meadowmelt Multi-Stick,Roseleaf,100,10,initial inventory approved by admin
yv-cheek-005-meadow-coral,,Meadowmelt Multi-Stick,Meadow Coral,100,10,initial inventory approved by admin
yv-cheek-005-quiet-berry,,Meadowmelt Multi-Stick,Quiet Berry,100,10,initial inventory approved by admin
yv-cheek-005-clay-bloom,,Meadowmelt Multi-Stick,Clay Bloom,100,10,initial inventory approved by admin
yv-cheek-005-fern-rose,,Meadowmelt Multi-Stick,Fern Rose,100,10,initial inventory approved by admin
yv-cheek-006-petal-dew,,Roseleaf Lip & Cheek Balm,Petal Dew,100,10,initial inventory approved by admin
yv-cheek-006-roseleaf,,Roseleaf Lip & Cheek Balm,Roseleaf,100,10,initial inventory approved by admin
yv-cheek-006-meadow-coral,,Roseleaf Lip & Cheek Balm,Meadow Coral,100,10,initial inventory approved by admin
yv-cheek-006-quiet-berry,,Roseleaf Lip & Cheek Balm,Quiet Berry,100,10,initial inventory approved by admin
yv-cheek-006-clay-bloom,,Roseleaf Lip & Cheek Balm,Clay Bloom,100,10,initial inventory approved by admin
yv-cheek-006-fern-rose,,Roseleaf Lip & Cheek Balm,Fern Rose,100,10,initial inventory approved by admin
yv-complex-001-1c,,Silkveil Serum Foundation,Default,100,10,initial inventory approved by admin
yv-complex-001-1n,,Silkveil Serum Foundation,Default,100,10,initial inventory approved by admin
yv-complex-001-1w,,Silkveil Serum Foundation,Default,100,10,initial inventory approved by admin
yv-complex-001-2c,,Silkveil Serum Foundation,Default,100,10,initial inventory approved by admin
yv-complex-001-2n,,Silkveil Serum Foundation,Default,100,10,initial inventory approved by admin
yv-complex-001-2w,,Silkveil Serum Foundation,Default,100,10,initial inventory approved by admin
yv-complex-001-3c,,Silkveil Serum Foundation,Default,100,10,initial inventory approved by admin
yv-complex-001-3n,,Silkveil Serum Foundation,Default,100,10,initial inventory approved by admin
yv-complex-001-3w,,Silkveil Serum Foundation,Default,100,10,initial inventory approved by admin
yv-complex-001-4n,,Silkveil Serum Foundation,Default,100,10,initial inventory approved by admin
yv-complex-001-4o,,Silkveil Serum Foundation,Default,100,10,initial inventory approved by admin
yv-complex-001-4w,,Silkveil Serum Foundation,Default,100,10,initial inventory approved by admin
yv-complex-001-5n,,Silkveil Serum Foundation,Default,100,10,initial inventory approved by admin
yv-complex-001-5o,,Silkveil Serum Foundation,Default,100,10,initial inventory approved by admin
yv-complex-001-5w,,Silkveil Serum Foundation,Default,100,10,initial inventory approved by admin
yv-complex-001-6n,,Silkveil Serum Foundation,Default,100,10,initial inventory approved by admin
yv-complex-001-6o,,Silkveil Serum Foundation,Default,100,10,initial inventory approved by admin
yv-complex-001-6w,,Silkveil Serum Foundation,Default,100,10,initial inventory approved by admin
yv-complex-001-7c,,Silkveil Serum Foundation,Default,100,10,initial inventory approved by admin
yv-complex-001-7n,,Silkveil Serum Foundation,Default,100,10,initial inventory approved by admin
yv-complex-001-7w,,Silkveil Serum Foundation,Default,100,10,initial inventory approved by admin
yv-complex-001-8n,,Silkveil Serum Foundation,Default,100,10,initial inventory approved by admin
yv-complex-001-8o,,Silkveil Serum Foundation,Default,100,10,initial inventory approved by admin
yv-complex-001-8w,,Silkveil Serum Foundation,Default,100,10,initial inventory approved by admin
yv-complex-002-1c,,Softmoss Natural Foundation,Default,100,10,initial inventory approved by admin
yv-complex-002-1n,,Softmoss Natural Foundation,Default,100,10,initial inventory approved by admin
yv-complex-002-1w,,Softmoss Natural Foundation,Default,100,10,initial inventory approved by admin
yv-complex-002-2c,,Softmoss Natural Foundation,Default,100,10,initial inventory approved by admin
yv-complex-002-2n,,Softmoss Natural Foundation,Default,100,10,initial inventory approved by admin
yv-complex-002-2w,,Softmoss Natural Foundation,Default,100,10,initial inventory approved by admin
yv-complex-002-3c,,Softmoss Natural Foundation,Default,100,10,initial inventory approved by admin
yv-complex-002-3n,,Softmoss Natural Foundation,Default,100,10,initial inventory approved by admin
yv-complex-002-3w,,Softmoss Natural Foundation,Default,100,10,initial inventory approved by admin
yv-complex-002-4n,,Softmoss Natural Foundation,Default,100,10,initial inventory approved by admin
yv-complex-002-4o,,Softmoss Natural Foundation,Default,100,10,initial inventory approved by admin
yv-complex-002-4w,,Softmoss Natural Foundation,Default,100,10,initial inventory approved by admin
yv-complex-002-5n,,Softmoss Natural Foundation,Default,100,10,initial inventory approved by admin
yv-complex-002-5o,,Softmoss Natural Foundation,Default,100,10,initial inventory approved by admin
yv-complex-002-5w,,Softmoss Natural Foundation,Default,100,10,initial inventory approved by admin
yv-complex-002-6n,,Softmoss Natural Foundation,Default,100,10,initial inventory approved by admin
yv-complex-002-6o,,Softmoss Natural Foundation,Default,100,10,initial inventory approved by admin
yv-complex-002-6w,,Softmoss Natural Foundation,Default,100,10,initial inventory approved by admin
yv-complex-002-7c,,Softmoss Natural Foundation,Default,100,10,initial inventory approved by admin
yv-complex-002-7n,,Softmoss Natural Foundation,Default,100,10,initial inventory approved by admin
yv-complex-002-7w,,Softmoss Natural Foundation,Default,100,10,initial inventory approved by admin
yv-complex-002-8n,,Softmoss Natural Foundation,Default,100,10,initial inventory approved by admin
yv-complex-002-8o,,Softmoss Natural Foundation,Default,100,10,initial inventory approved by admin
yv-complex-002-8w,,Softmoss Natural Foundation,Default,100,10,initial inventory approved by admin
yv-complex-003-1c,,Miststone Longwear Foundation,Default,100,10,initial inventory approved by admin
yv-complex-003-1n,,Miststone Longwear Foundation,Default,100,10,initial inventory approved by admin
yv-complex-003-1w,,Miststone Longwear Foundation,Default,100,10,initial inventory approved by admin
yv-complex-003-2c,,Miststone Longwear Foundation,Default,100,10,initial inventory approved by admin
yv-complex-003-2n,,Miststone Longwear Foundation,Default,100,10,initial inventory approved by admin
yv-complex-003-2w,,Miststone Longwear Foundation,Default,100,10,initial inventory approved by admin
yv-complex-003-3c,,Miststone Longwear Foundation,Default,100,10,initial inventory approved by admin
yv-complex-003-3n,,Miststone Longwear Foundation,Default,100,10,initial inventory approved by admin
yv-complex-003-3w,,Miststone Longwear Foundation,Default,100,10,initial inventory approved by admin
yv-complex-003-4n,,Miststone Longwear Foundation,Default,100,10,initial inventory approved by admin
yv-complex-003-4o,,Miststone Longwear Foundation,Default,100,10,initial inventory approved by admin
yv-complex-003-4w,,Miststone Longwear Foundation,Default,100,10,initial inventory approved by admin
yv-complex-003-5n,,Miststone Longwear Foundation,Default,100,10,initial inventory approved by admin
yv-complex-003-5o,,Miststone Longwear Foundation,Default,100,10,initial inventory approved by admin
yv-complex-003-5w,,Miststone Longwear Foundation,Default,100,10,initial inventory approved by admin
yv-complex-003-6n,,Miststone Longwear Foundation,Default,100,10,initial inventory approved by admin
yv-complex-003-6o,,Miststone Longwear Foundation,Default,100,10,initial inventory approved by admin
yv-complex-003-6w,,Miststone Longwear Foundation,Default,100,10,initial inventory approved by admin
yv-complex-003-7c,,Miststone Longwear Foundation,Default,100,10,initial inventory approved by admin
yv-complex-003-7n,,Miststone Longwear Foundation,Default,100,10,initial inventory approved by admin
yv-complex-003-7w,,Miststone Longwear Foundation,Default,100,10,initial inventory approved by admin
yv-complex-003-8n,,Miststone Longwear Foundation,Default,100,10,initial inventory approved by admin
yv-complex-003-8o,,Miststone Longwear Foundation,Default,100,10,initial inventory approved by admin
yv-complex-003-8w,,Miststone Longwear Foundation,Default,100,10,initial inventory approved by admin
yv-complex-004-1c,,Mistveil Skin Tint,Default,100,10,initial inventory approved by admin
yv-complex-004-1n,,Mistveil Skin Tint,Default,100,10,initial inventory approved by admin
yv-complex-004-1w,,Mistveil Skin Tint,Default,100,10,initial inventory approved by admin
yv-complex-004-2c,,Mistveil Skin Tint,Default,100,10,initial inventory approved by admin
yv-complex-004-2n,,Mistveil Skin Tint,Default,100,10,initial inventory approved by admin
yv-complex-004-2w,,Mistveil Skin Tint,Default,100,10,initial inventory approved by admin
yv-complex-004-3c,,Mistveil Skin Tint,Default,100,10,initial inventory approved by admin
yv-complex-004-3n,,Mistveil Skin Tint,Default,100,10,initial inventory approved by admin
yv-complex-004-3w,,Mistveil Skin Tint,Default,100,10,initial inventory approved by admin
yv-complex-004-4n,,Mistveil Skin Tint,Default,100,10,initial inventory approved by admin
yv-complex-004-4o,,Mistveil Skin Tint,Default,100,10,initial inventory approved by admin
yv-complex-004-4w,,Mistveil Skin Tint,Default,100,10,initial inventory approved by admin
yv-complex-004-5n,,Mistveil Skin Tint,Default,100,10,initial inventory approved by admin
yv-complex-004-5o,,Mistveil Skin Tint,Default,100,10,initial inventory approved by admin
yv-complex-004-5w,,Mistveil Skin Tint,Default,100,10,initial inventory approved by admin
yv-complex-004-6n,,Mistveil Skin Tint,Default,100,10,initial inventory approved by admin
yv-complex-004-6o,,Mistveil Skin Tint,Default,100,10,initial inventory approved by admin
